hold_days,base_mean_pct,base_pct_per_day_held,round_trips_per_year,ann_gross_pct,ann_cost_pct@0bps,ann_cost_pct@2bps,ann_cost_pct@5bps,ann_cost_pct@10bps,ann_cost_pct@20bps,ann_net_pct@0bps,ann_net_pct@2bps,ann_net_pct@5bps,ann_net_pct@10bps,ann_net_pct@20bps
1,0.0665457293946586,0.0665457293946586,252.0,16.769523807453965,0.0,5.04,12.6,25.2,50.4,16.769523807453965,11.729523807453965,4.169523807453965,-8.430476192546035,-33.63047619254604
2,0.1322595658139715,0.06612978290698575,126.0,16.66470529256041,0.0,2.52,6.3,12.6,25.2,16.66470529256041,14.144705292560408,10.364705292560409,4.064705292560408,-8.535294707439594
3,0.1989316695379762,0.06631055651265873,84.0,16.71026024119,0.0,1.68,4.2,8.4,16.8,16.71026024119,15.030260241190001,12.510260241190002,8.31026024119,-0.0897397588100004
4,0.2652980847307438,0.06632452118268595,63.0,16.713779338036858,0.0,1.26,3.15,6.3,12.6,16.713779338036858,15.45377933803686,13.56377933803686,10.413779338036859,4.113779338036858
5,0.3309433560904034,0.06618867121808067,50.4,16.67954514695633,0.0,1.008,2.52,5.04,10.08,16.67954514695633,15.671545146956328,14.15954514695633,11.63954514695633,6.599545146956329
10,0.6620701698885918,0.06620701698885918,25.2,16.684168281192512,0.0,0.504,1.26,2.52,5.04,16.684168281192512,16.18016828119251,15.424168281192511,14.164168281192513,11.644168281192513
